original_title;genre;director;actors;description;combined_features
Oshidori utagassen;Comedy, Musical;Masahiro Makino;Chiezô Kataoka, Ryôsuke Kagawa, Takashi Shimura, Mitsuru Toyama, Kajô Onoe, Hidemichi Ishikawa, Eizaburo Kusunoki, Ryutaro Chikamatsu, Matsunosuke Fukui, Minoru Fujisaki, Shirô Osaki, Mitsuo Kobayashi, Heizaburo Fujimura, Daihachiro Takebayashi, Junosuke Arashi;Oharu is in love with a ronin who lives next door. A mistake puts Oharu's father deeply in debt to the local lord and he is confronted with having to sell Oharu in order to pay it off.;Oshidori utagassen Comedy, Musical Masahiro Makino Chiezô Kataoka, Ryôsuke Kagawa, Takashi Shimura, Mitsuru Toyama, Kajô Onoe, Hidemichi Ishikawa, Eizaburo Kusunoki, Ryutaro Chikamatsu, Matsunosuke Fukui, Minoru Fujisaki, Shirô Osaki, Mitsuo Kobayashi, Heizaburo Fujimura, Daihachiro Takebayashi, Junosuke Arashi Oharu is in love with a ronin who lives next door. A mistake puts Oharu's father deeply in debt to the local lord and he is confronted with having to sell Oharu in order to pay it off.
Pacific Liner;Action, Adventure, Drama;Lew Landers;Victor McLaglen, Chester Morris, Wendy Barrie, Alan Hale, Barry Fitzgerald, Allan Lane, Halliwell Hobbes, Cy Kendall, Paul Guilfoyle, John Wray, Emory Parnell, Adia Kuznetzoff, John Bleifer, Charles Trowbridge;"The S. S. Arcturus sails from Shanghai to San Francisco, and Dr. Jim Craig takes the post of ship's physician in order to be near Ann Grayson, the ship's nurse. Chief Engineer 'Crusher"" ...";"Pacific Liner Action, Adventure, Drama Lew Landers Victor McLaglen, Chester Morris, Wendy Barrie, Alan Hale, Barry Fitzgerald, Allan Lane, Halliwell Hobbes, Cy Kendall, Paul Guilfoyle, John Wray, Emory Parnell, Adia Kuznetzoff, John Bleifer, Charles Trowbridge The S. S. Arcturus sails from Shanghai to San Francisco, and Dr. Jim Craig takes the post of ship's physician in order to be near Ann Grayson, the ship's nurse. Chief Engineer 'Crusher"" ..."
Panama Lady;Drama, Romance;Jack Hively;Lucille Ball, Allan Lane, Steffi Duna, Evelyn Brent, Donald Briggs, Bernadene Hayes, Abner Biberman, William Pawley, Earle Hodgins;"A weary dance-hall girl in a Panama saloon hooks up with a rough-and-tumble oil driller, who takes her to his oil-field in the jungle to show her what ""real"" life is like.";"Panama Lady Drama, Romance Jack Hively Lucille Ball, Allan Lane, Steffi Duna, Evelyn Brent, Donald Briggs, Bernadene Hayes, Abner Biberman, William Pawley, Earle Hodgins A weary dance-hall girl in a Panama saloon hooks up with a rough-and-tumble oil driller, who takes her to his oil-field in the jungle to show her what ""real"" life is like."
The Phantom Creeps;Action, Horror, Sci-Fi;Ford Beebe, Saul A. Goodkind;Bela Lugosi, Robert Kent, Dorothy Arnold, Edwin Stanley, Regis Toomey, Jack C. Smith, Edward Van Sloan, Dora Clement, Anthony Averill, Hugh Huntley, Monte Vandergrift, Frank Mayo, Jim Farley, Eddie Acuff, Reed Howes;A military intelligence officer and a pretty reporter try to find a scientist whose inventions can destroy the world.;The Phantom Creeps Action, Horror, Sci-Fi Ford Beebe, Saul A. Goodkind Bela Lugosi, Robert Kent, Dorothy Arnold, Edwin Stanley, Regis Toomey, Jack C. Smith, Edward Van Sloan, Dora Clement, Anthony Averill, Hugh Huntley, Monte Vandergrift, Frank Mayo, Jim Farley, Eddie Acuff, Reed Howes A military intelligence officer and a pretty reporter try to find a scientist whose inventions can destroy the world.
Pièges;Musical, Romance, Thriller;Robert Siodmak;Maurice Chevalier, Pierre Renoir, Marie Déa, Erich von Stroheim, Jean Témerson, André Brunot, Jacques Varennes, Henri Bry, Mady Berry, Catherine Farell, Milly Mathis, Madeleine Geoffroy, Pierre Magnier, André Numès Fils, Jean Brochard;After one of her fellow taxi dancers is murdered by an unknown man who she met through a personal column advert, Adrienne Charpentier is recruited by the police to answer a series of similar adverts to try to track down the killer.;Pièges Musical, Romance, Thriller Robert Siodmak Maurice Chevalier, Pierre Renoir, Marie Déa, Erich von Stroheim, Jean Témerson, André Brunot, Jacques Varennes, Henri Bry, Mady Berry, Catherine Farell, Milly Mathis, Madeleine Geoffroy, Pierre Magnier, André Numès Fils, Jean Brochard After one of her fellow taxi dancers is murdered by an unknown man who she met through a personal column advert, Adrienne Charpentier is recruited by the police to answer a series of similar adverts to try to track down the killer.
Poison Pen;Drama;Paul L. Stein;Flora Robson, Robert Newton, Ann Todd, Geoffrey Toone, Reginald Tate, Belle Chrystall, Edward Chapman, Edward Rigby, Athole Stewart, Mary Hinton, Cyril Chamberlain, Catherine Lacey, Wally Patch, Ella Retford, Jean Clyde;"A small, sedate British village is shocked when its residents begin receiving hate-filled diatribes, known as ""poison pen letters"".";"Poison Pen Drama Paul L. Stein Flora Robson, Robert Newton, Ann Todd, Geoffrey Toone, Reginald Tate, Belle Chrystall, Edward Chapman, Edward Rigby, Athole Stewart, Mary Hinton, Cyril Chamberlain, Catherine Lacey, Wally Patch, Ella Retford, Jean Clyde A small, sedate British village is shocked when its residents begin receiving hate-filled diatribes, known as ""poison pen letters""."
Private Detective;Action, Adventure, Comedy;Noel M. Smith;Jane Wyman, Dick Foran, Gloria Dickson, Maxie Rosenbloom, John Ridgely, Morgan Conway, John Eldredge, Joseph Crehan, William B. Davidson, Selmer Jackson, Vera Lewis, Julie Stevens, Jack Mower, Henry Blair, Earl Dwire;When they are forced to work together, rival detectives fall in love.;Private Detective Action, Adventure, Comedy Noel M. Smith Jane Wyman, Dick Foran, Gloria Dickson, Maxie Rosenbloom, John Ridgely, Morgan Conway, John Eldredge, Joseph Crehan, William B. Davidson, Selmer Jackson, Vera Lewis, Julie Stevens, Jack Mower, Henry Blair, Earl Dwire When they are forced to work together, rival detectives fall in love.
The Private Lives of Elizabeth and Essex;Biography, Drama, History;Michael Curtiz;Bette Davis, Errol Flynn, Olivia de Havilland, Donald Crisp, Alan Hale, Vincent Price, Henry Stephenson, Henry Daniell, James Stephenson, Nanette Fabray, Ralph Forbes, Robert Warwick, Leo G. Carroll;A depiction of the love/hate relationship between Queen Elizabeth I and Robert Devereux, the Earl of Essex.;The Private Lives of Elizabeth and Essex Biography, Drama, History Michael Curtiz Bette Davis, Errol Flynn, Olivia de Havilland, Donald Crisp, Alan Hale, Vincent Price, Henry Stephenson, Henry Daniell, James Stephenson, Nanette Fabray, Ralph Forbes, Robert Warwick, Leo G. Carroll A depiction of the love/hate relationship between Queen Elizabeth I and Robert Devereux, the Earl of Essex.
The Proud Valley;Drama, Music;Pen Tennyson;Paul Robeson, Edward Chapman, Simon Lack, Rachel Thomas, Edward Rigby, Dilys Thomas, Janet Johnson, Charles Williams, Jack Jones, Dilys Davies, Clifford Evans, Allan Jeayes, George Merritt, Edward Lexy;In a Welsh coal mining valley, a young man with a beautiful singing voice is called upon to make the ultimate sacrifice when a pit disaster threatens.;The Proud Valley Drama, Music Pen Tennyson Paul Robeson, Edward Chapman, Simon Lack, Rachel Thomas, Edward Rigby, Dilys Thomas, Janet Johnson, Charles Williams, Jack Jones, Dilys Davies, Clifford Evans, Allan Jeayes, George Merritt, Edward Lexy In a Welsh coal mining valley, a young man with a beautiful singing voice is called upon to make the ultimate sacrifice when a pit disaster threatens.
Q Planes;Comedy, Drama, Mystery;Tim Whelan, Arthur B. Woods;Laurence Olivier, Ralph Richardson, Valerie Hobson, George Curzon, George Merritt, Gus McNaughton, David Tree, Sandra Storme, Hay Petrie, Frank Fox, George Butler, Gordon McLeod, John Longden;A quirky British Secret Service Agent named Major Hammond tries to discover who is using a secret weapon to steal experimental planes.;Q Planes Comedy, Drama, Mystery Tim Whelan, Arthur B. Woods Laurence Olivier, Ralph Richardson, Valerie Hobson, George Curzon, George Merritt, Gus McNaughton, David Tree, Sandra Storme, Hay Petrie, Frank Fox, George Butler, Gordon McLeod, John Longden A quirky British Secret Service Agent named Major Hammond tries to discover who is using a secret weapon to steal experimental planes.
The Rains Came;Adventure, Drama, Romance;Clarence Brown;Myrna Loy, Tyrone Power, George Brent, Brenda Joyce, Nigel Bruce, Maria Ouspenskaya, Joseph Schildkraut, Mary Nash, Jane Darwell, Marjorie Rambeau, Henry Travers, H.B. Warner, Laura Hope Crews, William Royle, C. Montague Shaw;In India, a married British aristocrat is reunited with an old flame, but she truly has her sights set on a handsome surgeon.;The Rains Came Adventure, Drama, Romance Clarence Brown Myrna Loy, Tyrone Power, George Brent, Brenda Joyce, Nigel Bruce, Maria Ouspenskaya, Joseph Schildkraut, Mary Nash, Jane Darwell, Marjorie Rambeau, Henry Travers, H.B. Warner, Laura Hope Crews, William Royle, C. Montague Shaw In India, a married British aristocrat is reunited with an old flame, but she truly has her sights set on a handsome surgeon.
Range War;Western;Lesley Selander;William Boyd, Russell Hayden, Britt Wood, Pedro de Cordoba, Willard Robertson, Matt Moore, Betty Moran, Kenneth Harlan, Francis McDonald, Eddie Dean, Earle Hodgins, Jason Robards Sr., Stanley Price, Ray Bennett;Hopalong Cassidy (William Boyd) comes to the rescue of the railroad when a land baron and his gang try to prevent its construction.;Range War Western Lesley Selander William Boyd, Russell Hayden, Britt Wood, Pedro de Cordoba, Willard Robertson, Matt Moore, Betty Moran, Kenneth Harlan, Francis McDonald, Eddie Dean, Earle Hodgins, Jason Robards Sr., Stanley Price, Ray Bennett Hopalong Cassidy (William Boyd) comes to the rescue of the railroad when a land baron and his gang try to prevent its construction.
The Real Glory;Action, History, Romance;Henry Hathaway;Gary Cooper, David Niven, Andrea Leeds, Reginald Owen, Broderick Crawford, Kay Johnson, Russell Hicks, Vladimir Sokoloff, Benny Inocencio, Charles Waldron, Rudy Robles, Tetsu Komai, Roy Gordon, Henry Kolker;A small American contingent tries to train rural tribesmen to defend themselves against fanatical Muslim radicals in 1906 Philippines.;The Real Glory Action, History, Romance Henry Hathaway Gary Cooper, David Niven, Andrea Leeds, Reginald Owen, Broderick Crawford, Kay Johnson, Russell Hicks, Vladimir Sokoloff, Benny Inocencio, Charles Waldron, Rudy Robles, Tetsu Komai, Roy Gordon, Henry Kolker A small American contingent tries to train rural tribesmen to defend themselves against fanatical Muslim radicals in 1906 Philippines.
Remember?;Comedy, Romance;Norman Z. McLeod;Robert Taylor, Greer Garson, Lew Ayres, Billie Burke, Reginald Owen, George Barbier, Henry Travers, Richard Carle, Laura Hope Crews, Sara Haden, Sig Ruman, Armand Kaliz, Halliwell Hobbes, Paul Hurst, Norman Ainsley;A jilted man gives his divorced best friend and his ex-wife - to whom he was previously engaged - a potion that causes them to forget each other. Will they fall in love all over again?;Remember? Comedy, Romance Norman Z. McLeod Robert Taylor, Greer Garson, Lew Ayres, Billie Burke, Reginald Owen, George Barbier, Henry Travers, Richard Carle, Laura Hope Crews, Sara Haden, Sig Ruman, Armand Kaliz, Halliwell Hobbes, Paul Hurst, Norman Ainsley A jilted man gives his divorced best friend and his ex-wife - to whom he was previously engaged - a potion that causes them to forget each other. Will they fall in love all over again?
Renegade Trail;Music, Western;Lesley Selander;William Boyd, Russell Hayden, George 'Gabby' Hayes, Charlotte Wynters, Russell Hopton, Roy Barcroft, John Merton, Sonny Bupp, Eddie Dean, The King's Men;Hoppy goes to town to help Marshal Windy with some rustlers and winds up helping the widow Joyce when confidence men try to take her herd.;Renegade Trail Music, Western Lesley Selander William Boyd, Russell Hayden, George 'Gabby' Hayes, Charlotte Wynters, Russell Hopton, Roy Barcroft, John Merton, Sonny Bupp, Eddie Dean, The King's Men Hoppy goes to town to help Marshal Windy with some rustlers and winds up helping the widow Joyce when confidence men try to take her herd.
The Return of Doctor X;Horror, Mystery, Sci-Fi;Vincent Sherman;Humphrey Bogart, Rosemary Lane, Wayne Morris, Dennis Morgan, John Litel, Lya Lys, Huntz Hall, Charles C. Wilson, Vera Lewis, Howard Hickman, Olin Howland, Arthur Aylesworth, Cliff Saum, Creighton Hale, John Ridgely;A hotshot reporter and a young doctor team up to investigate a series of grisly murders and a mysterious sample of synthetic blood.;The Return of Doctor X Horror, Mystery, Sci-Fi Vincent Sherman Humphrey Bogart, Rosemary Lane, Wayne Morris, Dennis Morgan, John Litel, Lya Lys, Huntz Hall, Charles C. Wilson, Vera Lewis, Howard Hickman, Olin Howland, Arthur Aylesworth, Cliff Saum, Creighton Hale, John Ridgely A hotshot reporter and a young doctor team up to investigate a series of grisly murders and a mysterious sample of synthetic blood.
The Roaring Twenties;Crime, Drama, Film-Noir;Raoul Walsh;James Cagney, Priscilla Lane, Humphrey Bogart, Gladys George, Jeffrey Lynn, Frank McHugh, Paul Kelly, Elisabeth Risdon, Edward Keane, Joe Sawyer, Joseph Crehan, George Meeker, John Hamilton, Robert Elliott, Eddy Chandler;Three men attempt to make a living in Prohibitionist America after returning home from fighting together in World War I.;The Roaring Twenties Crime, Drama, Film-Noir Raoul Walsh James Cagney, Priscilla Lane, Humphrey Bogart, Gladys George, Jeffrey Lynn, Frank McHugh, Paul Kelly, Elisabeth Risdon, Edward Keane, Joe Sawyer, Joseph Crehan, George Meeker, John Hamilton, Robert Elliott, Eddy Chandler Three men attempt to make a living in Prohibitionist America after returning home from fighting together in World War I.
Rose of Washington Square;Drama, Musical, Romance;Gregory Ratoff;Tyrone Power, Alice Faye, Al Jolson, William Frawley, Joyce Compton, Hobart Cavanaugh, Moroni Olsen, E.E. Clive, Louis Prima, Charles C. Wilson, Hal K. Dawson, Paul E. Burns, Ben Welden, Horace McMahon, Paul Stanton;A singer becomes a star in the Ziegfeld Follies, but her marriage to a con man has a bad effect on her career.;Rose of Washington Square Drama, Musical, Romance Gregory Ratoff Tyrone Power, Alice Faye, Al Jolson, William Frawley, Joyce Compton, Hobart Cavanaugh, Moroni Olsen, E.E. Clive, Louis Prima, Charles C. Wilson, Hal K. Dawson, Paul E. Burns, Ben Welden, Horace McMahon, Paul Stanton A singer becomes a star in the Ziegfeld Follies, but her marriage to a con man has a bad effect on her career.
Rough Riders' Round-up;Action, Adventure, Drama;Joseph Kane;Roy Rogers, Lynne Roberts, Raymond Hatton, Eddie Acuff, William Pawley, Dorothy Sebastian, George Meeker, Duncan Renaldo, Jack Rockwell, Guy Usher;Now that the Spanish-American war is over, Roy and other Rough Riders become border patrolmen. Their goal is to stop outlaws who are stealing gold from stage coaches and express offices.;Rough Riders' Round-up Action, Adventure, Drama Joseph Kane Roy Rogers, Lynne Roberts, Raymond Hatton, Eddie Acuff, William Pawley, Dorothy Sebastian, George Meeker, Duncan Renaldo, Jack Rockwell, Guy Usher Now that the Spanish-American war is over, Roy and other Rough Riders become border patrolmen. Their goal is to stop outlaws who are stealing gold from stage coaches and express offices.
La règle du jeu;Comedy, Drama;Jean Renoir;Nora Gregor, Paulette Dubost, Mila Parély, Odette Talazac, Claire Gérard, Anne Mayen, Lise Elina, Marcel Dalio, Julien Carette, Roland Toutain, Gaston Modot, Jean Renoir, Pierre Magnier, Eddy Debray, Pierre Nay;A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.;La règle du jeu Comedy, Drama Jean Renoir Nora Gregor, Paulette Dubost, Mila Parély, Odette Talazac, Claire Gérard, Anne Mayen, Lise Elina, Marcel Dalio, Julien Carette, Roland Toutain, Gaston Modot, Jean Renoir, Pierre Magnier, Eddy Debray, Pierre Nay A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.
The Saint Strikes Back;Crime, Drama, Mystery;John Farrow;George Sanders, Wendy Barrie, Jonathan Hale, Jerome Cowan, Barry Fitzgerald, Neil Hamilton, Robert Elliott, Russell Hopton, Edward Gargan, Robert Strange, Gilbert Emery, James Burke, Nella Walker;Simon Templar, the Saint, travels to San Francisco to solve crime mysteries within the police department.;The Saint Strikes Back Crime, Drama, Mystery John Farrow George Sanders, Wendy Barrie, Jonathan Hale, Jerome Cowan, Barry Fitzgerald, Neil Hamilton, Robert Elliott, Russell Hopton, Edward Gargan, Robert Strange, Gilbert Emery, James Burke, Nella Walker Simon Templar, the Saint, travels to San Francisco to solve crime mysteries within the police department.
The Saint in London;Action, Comedy, Crime;John Paddy Carstairs;George Sanders, Sally Gray, David Burns, Gordon McLeod, Henry Oscar, Athene Seyler, John Abbott, Ralph Truman, Charles Carson, Carl Jaffe, Norah Howard, Ballard Berkeley, Charles Paton;The Saint returns to London and with the help of an American pickpocket and a beautiful adventuress breaks a counterfeiting ring.;The Saint in London Action, Comedy, Crime John Paddy Carstairs George Sanders, Sally Gray, David Burns, Gordon McLeod, Henry Oscar, Athene Seyler, John Abbott, Ralph Truman, Charles Carson, Carl Jaffe, Norah Howard, Ballard Berkeley, Charles Paton The Saint returns to London and with the help of an American pickpocket and a beautiful adventuress breaks a counterfeiting ring.
Sans lendemain;Drama;Max Ophüls;Edwige Feuillère, George Rigaud, Daniel Lecourtois, Mady Berry, Michel François, Georges Lannes, André Gabriello, Pauline Carton, Paul Azaïs;After an unhappy marriage, a woman of the world is forced to become a dancer in a cabaret in order to raise her young son.;Sans lendemain Drama Max Ophüls Edwige Feuillère, George Rigaud, Daniel Lecourtois, Mady Berry, Michel François, Georges Lannes, André Gabriello, Pauline Carton, Paul Azaïs After an unhappy marriage, a woman of the world is forced to become a dancer in a cabaret in order to raise her young son.
Second Fiddle;Comedy, Music;Sidney Lanfield;Sonja Henie, Tyrone Power, Rudy Vallee, Edna May Oliver, Mary Healy, Lyle Talbot, Alan Dinehart, Minna Gombell, Stewart Reburn, Spencer Charters, Charles Brokaw, The Brian Sisters, John Hiestand, George Chandler, Irving Bacon;A studio publicist discovers a Minnesota skating teacher and takes her to Hollywood. She goes back to Minnesota but he follows her.;Second Fiddle Comedy, Music Sidney Lanfield Sonja Henie, Tyrone Power, Rudy Vallee, Edna May Oliver, Mary Healy, Lyle Talbot, Alan Dinehart, Minna Gombell, Stewart Reburn, Spencer Charters, Charles Brokaw, The Brian Sisters, John Hiestand, George Chandler, Irving Bacon A studio publicist discovers a Minnesota skating teacher and takes her to Hollywood. She goes back to Minnesota but he follows her.
Secret Service of the Air;Action, Adventure, Crime;Noel M. Smith;Ronald Reagan, John Litel, Ila Rhodes, James Stephenson, Eddie Foy Jr., Rosella Towne, Larry Williams, John Ridgely, Anthony Averill, Bernard Nedell, Frank M. Thomas, Joe Cunningham, Morgan Conway, John Harron, Herbert Rawlinson;Brass Bancroft and his sidekick Gabby Watters are recruited onto the secret service and go undercover to crack a ruthless gang that smuggles illegal aliens.;Secret Service of the Air Action, Adventure, Crime Noel M. Smith Ronald Reagan, John Litel, Ila Rhodes, James Stephenson, Eddie Foy Jr., Rosella Towne, Larry Williams, John Ridgely, Anthony Averill, Bernard Nedell, Frank M. Thomas, Joe Cunningham, Morgan Conway, John Harron, Herbert Rawlinson Brass Bancroft and his sidekick Gabby Watters are recruited onto the secret service and go undercover to crack a ruthless gang that smuggles illegal aliens.
The Secret of Dr. Kildare;Drama;Harold S. Bucquet;Lew Ayres, Lionel Barrymore, Lionel Atwill, Helen Gilbert, Nat Pendleton, Laraine Day, Sara Haden, Samuel S. Hinds, Emma Dunn, Walter Kingsford, Grant Mitchell, Alma Kruger, Robert Kent, Marie Blake, Martha O'Driscoll;Dr. Gillespie's cancer has gotten worse, and to force him to take a rest instead of pursuing a sulfa-drug/pneumonia study, Kildare refuses to assist Gillespie, and instead accepts a case of...;The Secret of Dr. Kildare Drama Harold S. Bucquet Lew Ayres, Lionel Barrymore, Lionel Atwill, Helen Gilbert, Nat Pendleton, Laraine Day, Sara Haden, Samuel S. Hinds, Emma Dunn, Walter Kingsford, Grant Mitchell, Alma Kruger, Robert Kent, Marie Blake, Martha O'Driscoll Dr. Gillespie's cancer has gotten worse, and to force him to take a rest instead of pursuing a sulfa-drug/pneumonia study, Kildare refuses to assist Gillespie, and instead accepts a case of...
Seitsemän veljestä;Drama;Wilho Ilmari;Edvin Laine, Eino Kaipainen, Kaarlo Kytö, Kaarlo Kartio, Joel Rinne, Unto Salminen, Arvo Kuusla, Toppo Elonperä, Ida Salmi, Elsa Turakainen, Wilho Ilmari, Yrjö Tuominen, Varma Lahtinen, Evald Terho, Aino Haverinen;Based on Alexis Kivi's 1870 book, with the same title. It follows the lives of the seven Jukalo brothers, over several years. It also depicts many typical scenes from Finnish cultural, i.e. sauna.;Seitsemän veljestä Drama Wilho Ilmari Edvin Laine, Eino Kaipainen, Kaarlo Kytö, Kaarlo Kartio, Joel Rinne, Unto Salminen, Arvo Kuusla, Toppo Elonperä, Ida Salmi, Elsa Turakainen, Wilho Ilmari, Yrjö Tuominen, Varma Lahtinen, Evald Terho, Aino Haverinen Based on Alexis Kivi's 1870 book, with the same title. It follows the lives of the seven Jukalo brothers, over several years. It also depicts many typical scenes from Finnish cultural, i.e. sauna.
Sergeant Madden;Crime, Drama, Family;Josef von Sternberg;Wallace Beery, Tom Brown, Alan Curtis, Laraine Day, Fay Holden, Marc Lawrence, Marion Martin, David Gorcey, Donald Haines, Ben Welden, Etta McDaniel, John Kelly, Horace McMahon, Neil Fitzgerald, Dickie Jones;A highly respected Irish cop is pleased when his son follows him onto the force. Unfortunately, the son is more interested in rewards than in upholding the law. When he shoots a child ...;Sergeant Madden Crime, Drama, Family Josef von Sternberg Wallace Beery, Tom Brown, Alan Curtis, Laraine Day, Fay Holden, Marc Lawrence, Marion Martin, David Gorcey, Donald Haines, Ben Welden, Etta McDaniel, John Kelly, Horace McMahon, Neil Fitzgerald, Dickie Jones A highly respected Irish cop is pleased when his son follows him onto the force. Unfortunately, the son is more interested in rewards than in upholding the law. When he shoots a child ...
Shchors;Biography, Drama, War;Aleksandr Dovzhenko, Yuliya Solntseva;Evgeniy Samoylov, Ivan Skuratov, Luka Lyashenko, Yu. Titov, P. Krasilich, Aleksandr Grechanyy, Nikolai Makarenko, Yuriy Bantysh, Dmitriy Barvinskiy, Dmitriy Kostenko, Pyotr Masokha, P. Radetskiy, P. Tatarenko, Valentin Dukler, Fyodor Ishchenko;Biography of Ukrainian revolutionary Nikolai Alexandrovitch Shchors. Shchors leads the peasants and workers to advance on Kiev.;Shchors Biography, Drama, War Aleksandr Dovzhenko, Yuliya Solntseva Evgeniy Samoylov, Ivan Skuratov, Luka Lyashenko, Yu. Titov, P. Krasilich, Aleksandr Grechanyy, Nikolai Makarenko, Yuriy Bantysh, Dmitriy Barvinskiy, Dmitriy Kostenko, Pyotr Masokha, P. Radetskiy, P. Tatarenko, Valentin Dukler, Fyodor Ishchenko Biography of Ukrainian revolutionary Nikolai Alexandrovitch Shchors. Shchors leads the peasants and workers to advance on Kiev.
Silver on the Sage;Action, Adventure, Drama;Lesley Selander;William Boyd, Russell Hayden, George 'Gabby' Hayes, Ruth Rogers, Stanley Ridges, Frederick Burton, Jack Rockwell, Roy Barcroft, Ed Cassidy, Wen Wright;Hoppy goes undercover as an Eastern gambler to rein in the fraternal perpetrators of a cattle-rustling scheme.;Silver on the Sage Action, Adventure, Drama Lesley Selander William Boyd, Russell Hayden, George 'Gabby' Hayes, Ruth Rogers, Stanley Ridges, Frederick Burton, Jack Rockwell, Roy Barcroft, Ed Cassidy, Wen Wright Hoppy goes undercover as an Eastern gambler to rein in the fraternal perpetrators of a cattle-rustling scheme.
Smashing the Money Ring;Action, Adventure, Crime;Terry O. Morse;Ronald Reagan, Margot Stevenson, Eddie Foy Jr., Joe Downing, Charles D. Brown, Joe King, William B. Davidson, Charles C. Wilson, Elliott Sullivan, John Hamilton, Sidney Bracey, Jack Wise, Jack Mower, Don Turner;T-Man Brass Bancroft goes undercover in a prison which has a secret counterfeit operation set up in the print shop.;Smashing the Money Ring Action, Adventure, Crime Terry O. Morse Ronald Reagan, Margot Stevenson, Eddie Foy Jr., Joe Downing, Charles D. Brown, Joe King, William B. Davidson, Charles C. Wilson, Elliott Sullivan, John Hamilton, Sidney Bracey, Jack Wise, Jack Mower, Don Turner T-Man Brass Bancroft goes undercover in a prison which has a secret counterfeit operation set up in the print shop.
Society Lawyer;Drama, Music, Mystery;Edwin L. Marin;Walter Pidgeon, Virginia Bruce, Leo Carrillo, Eduardo Ciannelli, Lee Bowman, Frances Mercer, Ann Morriss, Herbert Mundin, Frank M. Thomas, Edward Brophy, Tom Kennedy, Clarence Kolb, Pierre Watkin, Ian Wolfe, Paul Guilfoyle;Society lawyer Christopher Durant agrees to defend his friend Phil Siddall when Siddall is arrested for the murder of an ex-girlfriend. With the help of nightclub singer Pat Abbott and ...;Society Lawyer Drama, Music, Mystery Edwin L. Marin Walter Pidgeon, Virginia Bruce, Leo Carrillo, Eduardo Ciannelli, Lee Bowman, Frances Mercer, Ann Morriss, Herbert Mundin, Frank M. Thomas, Edward Brophy, Tom Kennedy, Clarence Kolb, Pierre Watkin, Ian Wolfe, Paul Guilfoyle Society lawyer Christopher Durant agrees to defend his friend Phil Siddall when Siddall is arrested for the murder of an ex-girlfriend. With the help of nightclub singer Pat Abbott and ...
Some Like It Hot;Comedy, Musical, Romance;George Archainbaud;Bob Hope, Shirley Ross, Una Merkel, Gene Krupa, Rufe Davis, Bernard Nedell, Frank Sully, Bernadene Hayes, Richard Denning, Clarence Wilson, Dudley Dickerson, Harry Barris, Wayne 'Tiny' Whitt, J. Scott Smart, Bobby Dease;Nicky Nelson is a fast-talking sideshow barker with a wax-and-alive concession on Atlantic City's boardwalk. Even with the band of his friend, struggling musician Gene Krupa, playing on the...;Some Like It Hot Comedy, Musical, Romance George Archainbaud Bob Hope, Shirley Ross, Una Merkel, Gene Krupa, Rufe Davis, Bernard Nedell, Frank Sully, Bernadene Hayes, Richard Denning, Clarence Wilson, Dudley Dickerson, Harry Barris, Wayne 'Tiny' Whitt, J. Scott Smart, Bobby Dease Nicky Nelson is a fast-talking sideshow barker with a wax-and-alive concession on Atlantic City's boardwalk. Even with the band of his friend, struggling musician Gene Krupa, playing on the...
Son of Frankenstein;Drama, Horror, Sci-Fi;Rowland V. Lee;Basil Rathbone, Boris Karloff, Bela Lugosi, Lionel Atwill, Josephine Hutchinson, Donnie Dunagan, Emma Dunn, Edgar Norton, Perry Ivins, Lawrence Grant, Lionel Belmore, Michael Mark, Caroline Frances Cooke, Gustav von Seyffertitz, Lorimer Johnston;One of the sons of Frankenstein finds his father's monster in a coma and revives him, only to find out he is controlled by Ygor who is bent on revenge.;Son of Frankenstein Drama, Horror, Sci-Fi Rowland V. Lee Basil Rathbone, Boris Karloff, Bela Lugosi, Lionel Atwill, Josephine Hutchinson, Donnie Dunagan, Emma Dunn, Edgar Norton, Perry Ivins, Lawrence Grant, Lionel Belmore, Michael Mark, Caroline Frances Cooke, Gustav von Seyffertitz, Lorimer Johnston One of the sons of Frankenstein finds his father's monster in a coma and revives him, only to find out he is controlled by Ygor who is bent on revenge.
Sorority House;Drama, Romance;John Farrow;Anne Shirley, James Ellison, Barbara Read, Pamela Blake, J.M. Kerrigan, Helen Wood, Doris Davenport, June Storey, Elisabeth Risdon, Margaret Armstrong, Selmer Jackson, Chill Wills;Anne Shirley plays Alice Fisher-the daughter of a small grocer who at the last minute gets to go to little Talbot College. She learns that joining a sorority is an essential thing at the ...;Sorority House Drama, Romance John Farrow Anne Shirley, James Ellison, Barbara Read, Pamela Blake, J.M. Kerrigan, Helen Wood, Doris Davenport, June Storey, Elisabeth Risdon, Margaret Armstrong, Selmer Jackson, Chill Wills Anne Shirley plays Alice Fisher-the daughter of a small grocer who at the last minute gets to go to little Talbot College. She learns that joining a sorority is an essential thing at the ...
